step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,C_stopped,C_accumulated_waiting_time,C_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
700.0,9,71.0,1.8205128205128205,8.764171042042303,7,53.0,0.5825213146431982,7,53.0
705.0,1,5.0,0.13157894736842105,9.324333014546061,1,23.0,0.7429038845503589,1,23.0
710.0,8,23.0,0.6571428571428571,8.116529953202805,5,17.0,0.5527320224154931,5,17.0
715.0,12,74.0,2.0555555555555554,7.71927021974219,9,43.0,0.4302063009891414,9,43.0
720.0,5,30.0,0.8571428571428571,8.09952971582481,5,31.0,0.43333170438184826,5,31.0
725.0,9,48.0,1.2,9.691005717601909,7,45.0,0.6261125477997577,7,45.0
730.0,8,80.0,2.0,9.747827371537776,8,81.0,0.6025836399673106,8,81.0
735.0,4,24.0,0.6486486486486487,9.423111933169288,2,33.0,0.6619241145760958,2,33.0
740.0,6,32.0,1.0,7.362837704505139,4,27.0,0.4867415238837088,4,27.0
745.0,10,57.0,1.5833333333333333,8.22713841839103,6,30.0,0.5491210985045073,6,30.0
750.0,2,15.0,0.39473684210526316,9.813931953262632,1,14.0,0.7763360666783429,1,14.0
755.0,5,21.0,0.5675675675675675,9.494727504741574,2,23.0,0.6851816897210004,2,23.0
760.0,9,51.0,1.3783783783783783,8.346521575621972,6,31.0,0.5768720153241452,6,31.0
765.0,3,24.0,0.6857142857142857,7.695548799974882,2,28.0,0.4935916504664945,2,28.0
770.0,7,36.0,1.0,7.440751684147306,6,39.0,0.532597270014582,6,39.0
775.0,12,77.0,1.925,8.660212727971818,9,69.0,0.539288591746847,9,69.0
780.0,3,32.0,0.8648648648648649,9.168194987594955,1,43.0,0.726222381481385,1,43.0
785.0,5,38.0,0.9743589743589743,8.762869358206997,2,32.0,0.6350109885111477,2,32.0
790.0,11,54.0,1.5,8.582771183724873,6,25.0,0.5822090114296592,6,25.0
795.0,0,0.0,0.0,8.777250610569682,0,16.0,0.7181948091622937,0,16.0
800.0,9,21.0,0.6,7.318890630972715,4,8.0,0.5642918092937931,4,8.0
805.0,12,72.0,2.057142857142857,7.55302380845956,6,33.0,0.6282623280551962,6,33.0
810.0,9,86.0,2.4571428571428573,5.846365152598411,1,19.0,0.4710031294049814,1,19.0
815.0,18,153.0,3.825,5.95841974094206,9,44.0,0.5280604162800747,9,44.0
820.0,22,232.0,5.523809523809524,5.745077833018369,14,100.0,0.5122445000955318,14,100.0
825.0,15,252.0,5.7272727272727275,5.449567092411668,6,103.0,0.5053437497357718,6,103.0
830.0,24,358.0,7.617021276595745,5.0315772925304305,14,148.0,0.3937588807706814,14,148.0
835.0,31,499.0,11.088888888888889,3.3507735373663814,20,236.0,0.2281091075710902,20,236.0
840.0,31,619.0,12.63265306122449,3.676920920012837,20,331.0,0.24314123277463287,20,331.0
845.0,36,789.0,14.345454545454546,4.185637467912009,25,446.0,0.34688416521770765,25,446.0
850.0,37,960.0,17.454545454545453,3.9106686306814633,26,574.0,0.3508995218953963,26,574.0
855.0,37,1108.0,19.43859649122807,2.5057550539392834,26,688.0,0.21677316055728812,26,688.0
860.0,41,1080.0,18.0,2.7894259776062924,34,817.0,0.1727798883111215,34,817.0
865.0,36,959.0,14.530303030303031,4.427280125665085,33,937.0,0.2385165183793711,33,937.0
870.0,22,336.0,4.9411764705882355,5.345601860633038,22,723.0,0.240999263062905,22,723.0
875.0,19,276.0,3.780821917808219,7.360181995878698,18,524.0,0.41431310172536595,18,524.0
880.0,21,376.0,5.529411764705882,7.600014491975068,18,552.0,0.34802559322486526,18,552.0
885.0,15,195.0,2.9545454545454546,7.431431981025406,15,309.0,0.32747227697094167,15,309.0
890.0,9,35.0,0.5555555555555556,8.344068329781678,6,127.0,0.4237734115154951,6,127.0
895.0,12,89.0,1.6181818181818182,8.260128633953656,9,127.0,0.4714963742064595,9,127.0
900.0,9,44.0,0.8979591836734694,8.001817709243854,5,89.0,0.4996068812793211,5,89.0
905.0,9,47.0,1.0217391304347827,8.590156415469151,7,90.0,0.5332604117892078,7,90.0
910.0,11,95.0,2.111111111111111,8.607968738325516,10,134.0,0.5016087985803104,10,134.0
915.0,3,14.0,0.32558139534883723,8.597120631684383,2,49.0,0.5842872574734123,2,49.0
920.0,9,30.0,0.7317073170731707,8.304692629239389,6,30.0,0.5765778947520864,6,30.0
925.0,11,79.0,1.975,8.21053961665898,8,67.0,0.5241398684591567,8,67.0
930.0,3,30.0,0.7692307692307693,7.8173760631447635,1,39.0,0.5138558796813123,1,39.0
935.0,12,66.0,1.6923076923076923,7.944887757355868,9,63.0,0.48799322617174035,9,63.0
940.0,12,89.0,2.119047619047619,8.273637390969853,10,104.0,0.5272563349158698,10,104.0
945.0,4,45.0,1.125,8.787215526962466,4,46.0,0.6971691863117526,4,46.0
950.0,9,74.0,2.0555555555555554,8.34644134483133,6,66.0,0.5204915317978529,6,66.0
955.0,11,114.0,3.0,7.616849816663349,10,110.0,0.40851870267083706,10,110.0
960.0,1,6.0,0.15789473684210525,9.58015893214786,1,19.0,0.650684159560813,1,19.0
965.0,4,10.0,0.24390243902439024,10.508501457061966,2,4.0,0.8019290260510945,2,4.0
970.0,5,32.0,0.8205128205128205,10.118360604407545,3,16.0,0.6874401849252506,3,16.0
975.0,1,4.0,0.10810810810810811,10.17247726340834,1,4.0,0.7765299528615718,1,4.0
980.0,3,16.0,0.5,9.652968161541114,3,16.0,0.5509230528169493,3,16.0
985.0,7,44.0,1.3333333333333333,9.960233481280458,7,44.0,0.5951668217853697,7,44.0
990.0,1,2.0,0.06060606060606061,9.784365935517588,1,10.0,0.7453013893491425,1,10.0
995.0,3,11.0,0.34375,10.717958213793189,1,5.0,0.8470088308665892,1,5.0
1000.0,3,17.0,0.5483870967741935,9.961973687085193,3,15.0,0.718072958139999,3,15.0
1005.0,0,0.0,0.0,9.651950106070299,0,0.0,0.7869931001908251,0,0.0
1010.0,6,16.0,0.45714285714285713,9.138456528702262,4,10.0,0.6212865767860357,4,10.0
1015.0,7,44.0,1.375,8.946436538512266,6,36.0,0.5313688000684283,6,36.0
1020.0,0,0.0,0.0,9.627885322069968,0,5.0,0.7521848587196321,0,5.0
1025.0,3,11.0,0.3333333333333333,9.838178210262093,1,5.0,0.7116864065057885,1,5.0
1030.0,6,26.0,0.8125,9.82080695280893,6,26.0,0.6014473400548399,6,26.0
1035.0,8,63.0,1.75,9.751872705793167,8,63.0,0.562816348528425,8,63.0
1040.0,4,6.0,0.1875,9.359041878366048,2,15.0,0.7105314518435778,2,15.0
1045.0,5,18.0,0.5454545454545454,10.139786552439496,4,17.0,0.7120445674063913,4,17.0
1050.0,6,43.0,1.3870967741935485,9.248001808980936,4,37.0,0.5663028822622022,4,37.0
1055.0,0,0.0,0.0,10.43408466825585,0,15.0,0.767768499309964,0,15.0
1060.0,3,11.0,0.3142857142857143,11.65425790775151,2,7.0,0.8377914865404165,2,7.0
