controller,seed,vtype,time_loss
green_wave,42,moto,21.23
green_wave,42,car,14.64
green_wave,42,moto,12.07
green_wave,42,moto,6.34
green_wave,42,moto,24.33
green_wave,42,moto,2.03
green_wave,42,auto,17.89
green_wave,42,moto,8.59
green_wave,42,car,21.97
green_wave,42,auto,11.74
green_wave,42,moto,24.97
green_wave,42,moto,2.32
green_wave,42,moto,11.21
green_wave,42,moto,17.65
green_wave,42,moto,5.47
green_wave,42,moto,9.93
green_wave,42,auto,13.81
green_wave,42,moto,7.64
green_wave,42,auto,19.48
green_wave,42,moto,21.35
green_wave,42,auto,22.36
green_wave,42,auto,10.27
green_wave,42,moto,6.34
green_wave,42,moto,2.59
green_wave,42,moto,4.21
green_wave,42,moto,7.91
green_wave,42,moto,17.22
green_wave,42,moto,5.78
green_wave,42,moto,15.28
green_wave,42,moto,24.4
green_wave,42,moto,8.37
green_wave,42,auto,7.43
green_wave,42,moto,24.14
green_wave,42,moto,23.92
green_wave,42,moto,17.33
green_wave,42,auto,11.47
green_wave,42,auto,18.37
green_wave,42,auto,4.69
green_wave,42,moto,24.37
green_wave,42,auto,3.21
green_wave,42,auto,23.58
green_wave,42,auto,4.27
green_wave,42,car,6.37
green_wave,42,auto,18.34
green_wave,42,moto,9.67
green_wave,42,moto,16.4
green_wave,42,auto,6.25
green_wave,42,car,21.85
green_wave,42,moto,14.13
green_wave,42,auto,1.06
green_wave,42,auto,17.73
green_wave,42,auto,16.19
green_wave,42,moto,2.7
green_wave,42,moto,5.3
green_wave,42,car,12.92
green_wave,42,moto,8.34
green_wave,42,moto,13.85
green_wave,42,moto,7.9
green_wave,42,moto,20.18
green_wave,42,moto,16.14
green_wave,42,moto,4.77
green_wave,42,moto,5.79
green_wave,42,car,5.7
green_wave,42,moto,12.97
green_wave,42,auto,6.99
green_wave,42,auto,2.5
green_wave,42,moto,17.13
green_wave,42,moto,5.32
green_wave,42,moto,5.81
green_wave,42,auto,25.05
green_wave,42,moto,5.77
green_wave,42,moto,20.12
green_wave,42,auto,4.15
green_wave,42,moto,21.41
green_wave,42,moto,14.95
green_wave,42,moto,8.01
green_wave,42,car,8.41
green_wave,42,moto,7.01
green_wave,42,auto,7.24
green_wave,42,moto,15.44
green_wave,42,moto,4.3
green_wave,42,car,13.85
green_wave,42,moto,24.25
green_wave,42,moto,18.35
green_wave,42,moto,24.14
green_wave,42,auto,23.93
green_wave,42,auto,22.97
green_wave,42,auto,24.39
green_wave,42,auto,17.19
green_wave,42,moto,21.29
green_wave,42,moto,22.28
green_wave,42,moto,16.68
green_wave,42,moto,24.84
green_wave,42,moto,4.93
green_wave,42,moto,18.68
green_wave,42,car,22.61
green_wave,42,auto,13.85
green_wave,42,moto,5.68
green_wave,42,auto,20.94
green_wave,42,auto,19.04
green_wave,42,moto,22.68
green_wave,42,auto,3.54
green_wave,42,auto,8.97
green_wave,42,auto,11.87
green_wave,42,moto,2.37
green_wave,42,moto,10.61
green_wave,42,moto,18.94
green_wave,42,moto,15.33
green_wave,42,car,23.04
green_wave,42,auto,16.03
green_wave,42,moto,2.82
green_wave,42,moto,24.19
green_wave,42,auto,17.49
green_wave,42,car,21.21
green_wave,42,car,18.03
green_wave,42,moto,6.51
green_wave,42,moto,44.56
green_wave,42,moto,10.22
green_wave,42,auto,6.29
green_wave,42,auto,28.72
green_wave,42,auto,6.46
green_wave,42,moto,4.83
green_wave,42,moto,5.21
green_wave,42,car,10.47
green_wave,42,car,6.39
green_wave,42,moto,4.26
green_wave,42,car,4.9
green_wave,42,moto,9.33
green_wave,42,moto,5.45
green_wave,42,moto,6.93
green_wave,42,moto,15.31
green_wave,42,moto,11.43
green_wave,42,moto,17.52
green_wave,42,moto,6.44
green_wave,42,moto,6.91
