controller,span,t,ts,phase,halting,vehicles
green_wave,400,260.0,C3,1,0,6
green_wave,400,260.0,C3_E,-1,0,0
green_wave,400,265.0,C1,1,0,4
green_wave,400,265.0,C2,0,0,7
green_wave,400,265.0,C3,1,0,3
green_wave,400,265.0,C3_E,-1,0,4
green_wave,400,270.0,C1,1,0,1
green_wave,400,270.0,C2,0,0,14
green_wave,400,270.0,C3,1,0,0
green_wave,400,270.0,C3_E,-1,0,9
green_wave,400,275.0,C1,0,0,3
green_wave,400,275.0,C2,1,0,15
green_wave,400,275.0,C3,0,0,0
green_wave,400,275.0,C3_E,-1,0,9
green_wave,400,280.0,C1,0,0,4
green_wave,400,280.0,C2,1,0,6
green_wave,400,280.0,C3,0,0,4
green_wave,400,280.0,C3_E,-1,0,7
green_wave,400,285.0,C1,0,1,6
green_wave,400,285.0,C2,1,0,1
green_wave,400,285.0,C3,0,0,13
green_wave,400,285.0,C3_E,-1,0,2
green_wave,400,290.0,C1,1,0,5
green_wave,400,290.0,C2,0,0,0
green_wave,400,290.0,C3,1,0,15
green_wave,400,290.0,C3_E,-1,0,0
green_wave,400,295.0,C1,1,0,3
green_wave,400,295.0,C2,0,0,4
green_wave,400,295.0,C3,1,0,13
green_wave,400,295.0,C3_E,-1,0,0
green_wave,400,300.0,C1,1,0,2
green_wave,400,300.0,C2,0,0,5
green_wave,400,300.0,C3,1,0,1
green_wave,400,300.0,C3_E,-1,0,8
green_wave,400,305.0,C1,0,0,5
green_wave,400,305.0,C2,1,0,6
green_wave,400,305.0,C3,0,0,1
green_wave,400,305.0,C3_E,-1,0,14
green_wave,400,310.0,C1,0,0,7
green_wave,400,310.0,C2,1,0,2
green_wave,400,310.0,C3,0,1,4
green_wave,400,310.0,C3_E,-1,0,14
green_wave,400,315.0,C1,0,2,10
green_wave,400,315.0,C2,1,0,1
green_wave,400,315.0,C3,0,1,6
green_wave,400,315.0,C3_E,-1,0,8
green_wave,400,320.0,C1,1,0,8
green_wave,400,320.0,C2,0,1,1
green_wave,400,320.0,C3,1,0,4
green_wave,400,320.0,C3_E,-1,0,0
green_wave,400,325.0,C1,1,0,7
green_wave,400,325.0,C2,0,1,6
green_wave,400,325.0,C3,1,0,1
green_wave,400,325.0,C3_E,-1,0,3
green_wave,400,330.0,C1,1,0,4
green_wave,400,330.0,C2,0,1,9
green_wave,400,330.0,C3,1,0,0
green_wave,400,330.0,C3_E,-1,0,6
green_wave,400,335.0,C1,0,0,6
green_wave,400,335.0,C2,1,0,8
green_wave,400,335.0,C3,0,0,0
green_wave,400,335.0,C3_E,-1,0,5
green_wave,400,340.0,C1,0,2,8
green_wave,400,340.0,C2,1,0,5
green_wave,400,340.0,C3,0,0,5
green_wave,400,340.0,C3_E,-1,0,3
green_wave,400,345.0,C1,0,4,9
green_wave,400,345.0,C2,1,0,1
green_wave,400,345.0,C3,0,0,8
green_wave,400,345.0,C3_E,-1,0,0
green_wave,400,350.0,C1,1,0,5
